"","Count","LBA","LF","DIST_YEAR","DIST_TYPE","TYPE_CONFIDENCE","SEVERITY","SOURCE1","SOURCE2","SOURCE3","SOURCE4","DESCRIPTION","DIST_GROUP","DIST_FIRE","hectares"
"89",46925,9999,462,2011,"Other Mechanical","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Other Mechanical Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",4223.25
"90",1834837,9999,991,2011,"Prescribed Fire","High","Low","Refresh Events",NA,NA,NA,"Within Prescribed Fire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Prescribed Fire","Disturbance-Fire",165135.33
"91",859137,9999,491,2011,"Prescribed Fire","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Prescribed Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",77322.33
"92",58277,9999,492,2011,"Prescribed Fire","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Prescribed Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",5244.93
"93",22102,9999,801,2011,"Wildland Fire","Medium","Low","Refresh Events","dNBR",NA,NA,"Wildland Fire causality likely, but could be other causality type than assigned (MIICA pixels within Wildland Fire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",1989.18
"94",20695,9999,791,2011,"Prescribed Fire","Medium","Low","Refresh Events","dNBR",NA,NA,"Prescribed Fire causality likely, but could be other causality type than assigned (MIICA pixels within Prescribed Fire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",1862.55
"95",99158,1,971,2011,"Wildfire","High","Low","Refresh Events",NA,NA,NA,"Within Wildfire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Wildfire","Disturbance-Fire",8924.22
"96",213078,1,491,2011,"Prescribed Fire","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Prescribed Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",19177.02
"97",161677,1,991,2011,"Prescribed Fire","High","Low","Refresh Events",NA,NA,NA,"Within Prescribed Fire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Prescribed Fire","Disturbance-Fire",14550.93
"98",30226,1,492,2011,"Prescribed Fire","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Prescribed Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",2720.34
"99",38207,1,493,2011,"Prescribed Fire","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Prescribed Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",3438.63
